Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
CR02	2010s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Other Fuel	Neither Shared	1.0	0.0	1.0	4500.823397	8.281600000000003e-05
CR02	2010s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Other Fuel	Only Heating Shared	1.0	0.0	2.0	13329.17065	2.0704000000000007e-05
CR02	2010s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0002484480000000001
CR02	2010s	Propane	Neither Shared	1.0	0.0	14.0	121819.3249	0.0008495351408640004
CR02	2010s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	2010s	Propane	Only Heating Shared	1.0	0.0	0.0	0.0	0.000144256859136
CR03	<1940	Electricity	Both Shared	1.0	0.0	1.0	4294.151879	0.00011027744308000003
CR03	<1940	Electricity	Neither Shared	0.9479629999999999	0.052037	15.0	78133.94812	0.006562180799040002
CR03	<1940	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	4.989453964000002e-05
CR03	<1940	Electricity	Only Heating Shared	1.0	0.0	6.0	44709.459039999994	0.0006482472182400001
CR03	<1940	Fuel Oil	Both Shared	1.0	0.0	1.0	4739.70291	0.0
CR03	<1940	Fuel Oil	Neither Shared	1.0	0.0	125.0	706130.671	0.0
CR03	<1940	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Fuel Oil	Only Heating Shared	1.0	0.0	20.0	141183.5386	0.0
CR03	<1940	Natural Gas	Both Shared	1.0	0.0	1.0	8067.488595000001	2.9071639293926838e-05
CR03	<1940	Natural Gas	Neither Shared	1.0	0.0	132.0	746518.5374	0.0009572913669341472
