Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	resstock_probability
CR04	2010s	Fuel Oil	No	1.0	0.0
CR04	2010s	Fuel Oil	Yes	1.0	0.0
CR04	2010s	Natural Gas	No	1.0	0.0012836400000000006
CR04	2010s	Natural Gas	Yes	1.0	0.0
CR04	2010s	Propane	No	1.0	0.0010828128373248987
CR04	2010s	Propane	Yes	1.0	0.00015942716267510176
CR05	<1940	None	No	1.0	0.0
CR05	<1940	None	Yes	1.0	0.0
CR05	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR05	<1940	Other Fuel	Yes	1.0	0.0
CR05	<1940	Electricity	No	1.0	0.007370600000000003
CR05	<1940	Electricity	Yes	1.0	0.0
CR05	<1940	Fuel Oil	No	1.0	0.0
CR05	<1940	Fuel Oil	Yes	1.0	0.0
CR05	<1940	Natural Gas	No	1.0	0.0012836405134562573
CR05	<1940	Natural Gas	Yes	1.0	0.0
CR05	<1940	Propane	No	1.0	0.0012422400000000006
CR05	<1940	Propane	Yes	1.0	0.0
CR05	1940s	None	No	1.0	0.0
CR05	1940s	None	Yes	1.0	0.0
CR05	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR05	1940s	Other Fuel	Yes	1.0	0.0
CR05	1940s	Electricity	No	1.0	0.01474120000000001
CR05	1940s	Electricity	Yes	1.0	0.0
CR05	1940s	Fuel Oil	No	1.0	0.0
CR05	1940s	Fuel Oil	Yes	1.0	0.0
CR05	1940s	Natural Gas	No	1.0	0.0025672810269125146
CR05	1940s	Natural Gas	Yes	1.0	0.0
CR05	1940s	Propane	No	1.0	0.0024844800000000007
CR05	1940s	Propane	Yes	1.0	0.0
CR05	1950s	None	No	1.0	0.0
CR05	1950s	None	Yes	1.0	0.0
CR05	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR05	1950s	Other Fuel	Yes	1.0	0.0
CR05	1950s	Electricity	No	1.0	0.0003737763930800001
CR05	1950s	Electricity	Yes	1.0	0.0069968236069200005
CR05	1950s	Fuel Oil	No	1.0	0.0
CR05	1950s	Fuel Oil	Yes	1.0	0.0
CR05	1950s	Natural Gas	No	1.0	0.001257856340324513
CR05	1950s	Natural Gas	Yes	1.0	2.578365967548774e-05
CR05	1950s	Propane	No	1.0	0.0012422400000000006
CR05	1950s	Propane	Yes	1.0	0.0
CR05	1960s	None	No	1.0	0.0
CR05	1960s	None	Yes	1.0	0.0
CR05	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR05	1960s	Other Fuel	Yes	1.0	0.0
CR05	1960s	Electricity	No	1.0	0.0073706000000000015
CR05	1960s	Electricity	Yes	1.0	0.0
CR05	1960s	Fuel Oil	No	1.0	0.0
CR05	1960s	Fuel Oil	Yes	1.0	0.0
CR05	1960s	Natural Gas	No	1.0	0.0012836400000000006
CR05	1960s	Natural Gas	Yes	1.0	0.0
CR05	1960s	Propane	No	1.0	0.0012422400000000004
CR05	1960s	Propane	Yes	1.0	0.0
CR05	1970s	None	No	1.0	0.0
CR05	1970s	None	Yes	1.0	0.0
CR05	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR05	1970s	Other Fuel	Yes	1.0	0.0
CR05	1970s	Electricity	No	1.0	0.007370600000000001
CR05	1970s	Electricity	Yes	1.0	0.0
CR05	1970s	Fuel Oil	No	1.0	0.0
CR05	1970s	Fuel Oil	Yes	1.0	0.0
CR05	1970s	Natural Gas	No	1.0	0.001270203160121182
CR05	1970s	Natural Gas	Yes	1.0	1.343632642307496e-05
CR05	1970s	Propane	No	1.0	0.0012422400000000004
CR05	1970s	Propane	Yes	1.0	0.0
CR05	1980s	None	No	1.0	0.0
CR05	1980s	None	Yes	1.0	0.0
CR05	1980s	Other Fuel	No	1.0	0.00010352000000000003
CR05	1980s	Other Fuel	Yes	1.0	0.0
CR05	1980s	Electricity	No	1.0	0.007370600000000003
CR05	1980s	Electricity	Yes	1.0	0.0
CR05	1980s	Fuel Oil	No	1.0	0.0
CR05	1980s	Fuel Oil	Yes	1.0	0.0
CR05	1980s	Natural Gas	No	1.0	0.001283638973088514
CR05	1980s	Natural Gas	Yes	1.0	0.0
CR05	1980s	Propane	No	1.0	0.0012422400000000006
CR05	1980s	Propane	Yes	1.0	0.0
CR05	1990s	None	No	1.0	0.0
CR05	1990s	None	Yes	1.0	0.0
CR05	1990s	Other Fuel	No	1.0	0.00010352000000000004
CR05	1990s	Other Fuel	Yes	1.0	0.0
CR05	1990s	Electricity	No	1.0	0.007370597051761477
CR05	1990s	Electricity	Yes	1.0	0.0
CR05	1990s	Fuel Oil	No	1.0	0.0
CR05	1990s	Fuel Oil	Yes	1.0	0.0
CR05	1990s	Natural Gas	No	1.0	0.0012836400000000006
CR05	1990s	Natural Gas	Yes	1.0	0.0
CR05	1990s	Propane	No	1.0	0.0012422400000000006
CR05	1990s	Propane	Yes	1.0	0.0
CR05	2000s	None	No	1.0	0.0
CR05	2000s	None	Yes	1.0	0.0
CR05	2000s	Other Fuel	No	1.0	0.00010352000000000004
CR05	2000s	Other Fuel	Yes	1.0	0.0
CR05	2000s	Electricity	No	1.0	0.005096389782745075
CR05	2000s	Electricity	Yes	1.0	0.002274207269016399
CR05	2000s	Fuel Oil	No	1.0	0.0
CR05	2000s	Fuel Oil	Yes	1.0	0.0
CR05	2000s	Natural Gas	No	1.0	0.0012678055227475352
CR05	2000s	Natural Gas	Yes	1.0	1.583447725246537e-05
CR05	2000s	Propane	No	1.0	0.0012422400000000004
CR05	2000s	Propane	Yes	1.0	0.0
CR05	2010s	None	No	1.0	0.0
CR05	2010s	None	Yes	1.0	0.0
CR05	2010s	Other Fuel	No	1.0	0.00010352000000000004
CR05	2010s	Other Fuel	Yes	1.0	0.0
CR05	2010s	Electricity	No	1.0	0.005096389782745075
CR05	2010s	Electricity	Yes	1.0	0.002274207269016399
CR05	2010s	Fuel Oil	No	1.0	0.0
CR05	2010s	Fuel Oil	Yes	1.0	0.0
CR05	2010s	Natural Gas	No	1.0	0.0012678055227475352
CR05	2010s	Natural Gas	Yes	1.0	1.583447725246537e-05
CR05	2010s	Propane	No	1.0	0.0012422400000000004
CR05	2010s	Propane	Yes	1.0	0.0
CR06	<1940	None	No	1.0	0.0
CR06	<1940	None	Yes	1.0	0.0
CR06	<1940	Other Fuel	No	1.0	0.00010352000000000004
CR06	<1940	Other Fuel	Yes	1.0	0.0
CR06	<1940	Electricity	No	1.0	0.007370600000000003
CR06	<1940	Electricity	Yes	1.0	0.0
CR06	<1940	Fuel Oil	No	1.0	0.0
CR06	<1940	Fuel Oil	Yes	1.0	0.0
CR06	<1940	Natural Gas	No	1.0	0.0012836405134562573
CR06	<1940	Natural Gas	Yes	1.0	0.0
CR06	<1940	Propane	No	1.0	0.0012422400000000006
CR06	<1940	Propane	Yes	1.0	0.0
CR06	1940s	None	No	1.0	0.0
CR06	1940s	None	Yes	1.0	0.0
CR06	1940s	Other Fuel	No	1.0	0.00020704000000000008
CR06	1940s	Other Fuel	Yes	1.0	0.0
CR06	1940s	Electricity	No	1.0	0.01474120000000001
CR06	1940s	Electricity	Yes	1.0	0.0
CR06	1940s	Fuel Oil	No	1.0	0.0
CR06	1940s	Fuel Oil	Yes	1.0	0.0
CR06	1940s	Natural Gas	No	1.0	0.0025672810269125146
CR06	1940s	Natural Gas	Yes	1.0	0.0
CR06	1940s	Propane	No	1.0	0.0024844800000000007
CR06	1940s	Propane	Yes	1.0	0.0
CR06	1950s	None	No	1.0	0.0
CR06	1950s	None	Yes	1.0	0.0
CR06	1950s	Other Fuel	No	1.0	0.00010352000000000004
CR06	1950s	Other Fuel	Yes	1.0	0.0
CR06	1950s	Electricity	No	1.0	0.007030225521994163
CR06	1950s	Electricity	Yes	1.0	0.0003403744780058373
CR06	1950s	Fuel Oil	No	1.0	0.0
CR06	1950s	Fuel Oil	Yes	1.0	0.0
CR06	1950s	Natural Gas	No	1.0	0.0011755189274685605
CR06	1950s	Natural Gas	Yes	1.0	0.00010812107253144037
CR06	1950s	Propane	No	1.0	0.0012422400000000006
CR06	1950s	Propane	Yes	1.0	0.0
CR06	1960s	None	No	1.0	0.0
CR06	1960s	None	Yes	1.0	0.0
CR06	1960s	Other Fuel	No	1.0	0.00010352000000000003
CR06	1960s	Other Fuel	Yes	1.0	0.0
CR06	1960s	Electricity	No	1.0	0.006455626734985606
CR06	1960s	Electricity	Yes	1.0	0.0009149732650143961
CR06	1960s	Fuel Oil	No	1.0	0.0
CR06	1960s	Fuel Oil	Yes	1.0	0.0
CR06	1960s	Natural Gas	No	1.0	0.0011815914956761029
CR06	1960s	Natural Gas	Yes	1.0	0.00010204850432389758
CR06	1960s	Propane	No	1.0	0.0012422400000000004
CR06	1960s	Propane	Yes	1.0	0.0
CR06	1970s	None	No	1.0	0.0
CR06	1970s	None	Yes	1.0	0.0
CR06	1970s	Other Fuel	No	1.0	0.00010352000000000003
CR06	1970s	Other Fuel	Yes	1.0	0.0
CR06	1970s	Electricity	No	1.0	0.005972449543960405
CR06	1970s	Electricity	Yes	1.0	0.0013981504560395962
CR06	1970s	Fuel Oil	No	1.0	0.0
CR06	1970s	Fuel Oil	Yes	1.0	0.0
CR06	1970s	Natural Gas	No	1.0	0.001283639486544257
CR06	1970s	Natural Gas	Yes	1.0	0.0
CR06	1970s	Propane	No	1.0	0.0012422400000000004
CR06	1970s	Propane	Yes	1.0	0.0
CR06	1980s	None	No	1.0	0.0
CR06	1980s	None	Yes	1.0	0.0
CR06	1980s	Other Fuel	No	1.0	7.419854154546343e-05
CR06	1980s	Other Fuel	Yes	1.0	2.9321458454536584e-05
